,CompLex_complexity,WCL_complexity,SemEval2016_complexity,BEA2018_News_binaryComplexity,BEA2018_News_probabilisticComplexity,BEA2018_WikiNews_binaryComplexity,BEA2018_WikiNews_probabilisticComplexity,BEA2018_Wikipedia_binaryComplexity,BEA2018_Wikipedia_probabilisticComplexity,token,lowercase_tokens
0,,,,,,,,(1+0j),(0.05+0j),, liquors
1,,,,,,,,0j,0j,, membranous structure
2,,,(1.2+0j),,,,,,,,'d
3,,,(2.8571+0j),,,,,,,,'ll
4,,,,,,0j,0j,0j,0j,,'m
5,,,(2.5833+0j),0j,0j,0j,0j,,,,'re
6,,,(2.8119199999999998+0j),0j,0j,0j,0j,,,,'s
7,,,(2.2857+0j),0j,0j,0j,0j,,,,'ve
8,,,(2.1667+0j),,,,,,,,1000th
9,,,,,,,,,,,100th
10,,,,,,,,,,,106th
11,,,,,,,,,,,10th
12,,,(2.5+0j),,,,,,,,11th
13,,,,,,,,,,,128th
14,,,(2.07145+0j),,,,,,,,12th
15,,,,,,,,,,,134th
16,,,,,,,,,,,13th
17,,,(1.4+0j),,,,,,,,14th
18,,,(2.1667+0j),,,,,,,,15th
19,,,,,,,,,,,16th
20,,,(1.6667+0j),,,,,,,,17th
21,,,,,,,,,,,180th
22,,,,,,,,,,,184th
23,,,(2.8333+0j),,,,,,,,18th
24,,,(2.9333400000000003+0j),,,,,,,,19th
25,,,,,,,,,,,1st
26,,,,,,,,,,,200th
27,,,(2.5357000000000003+0j),,,,,,,,20th
28,,,,,,,,,,,21st
29,,,(1.8571+0j),,,,,,,,22nd
30,,,,,,,,,,,24th
31,,,,,,,,,,,254th
32,,,,,,,,,,,25th
33,,,,,,,,,,,260th
34,,,,,,,,,,,27th
35,,,(3.35715+0j),,,,,,,,2nd
36,,,,,,,,,,,30th
37,,,,,,,,,,,32nd
38,,,,,,,,,,,334th
39,,,,,,,,,,,33rd
40,,,,,,,,,,,34th
41,,,,,,,,,,,35th
42,,,,,,,,,,,37th
43,,,(3.2857+0j),,,,,,,,3rd
44,,,(2.2857+0j),,,,,,,,41st
45,,,(3.2857+0j),,,,,,,,4th
46,,,,,,,,,,,501st
47,,,(1.8333+0j),,,,,,,,50th
48,,,(1.6667+0j),,,,,,,,51st
49,,,,,,,,,,,52nd
50,,,,,,,,,,,53rd
51,,,(1.7143+0j),,,,,,,,5th
52,,,,,,,,,,,62nd
53,,,,,,,,,,,6th
54,,,,,,,,,,,7th
55,,,,,,,,,,,800th
56,,,(2.1667+0j),,,,,,,,80th
57,,,(3.4+0j),,,,,,,,8th
58,,,,,,,,,,,900th
59,,,(2.1667+0j),,,,,,,,93rd
60,,,(3.3333+0j),,,,,,,,97th
61,,,,,,,,,,,99th
62,,,,,,,,,,,9th
63,,(1+0j),,,,,,,,,a
64,,,,0j,0j,,,,,,a compound
65,,,,0j,0j,,,,,,a convertible bond
66,,,,,,0j,0j,,,,a couple of
67,,,,,,(1+0j),(0.05+0j),,,,a deliberate
68,,,,(1+0j),(0.05+0j),,,,,,a fire sale
69,,,,,,0j,0j,,,,a fungus
70,,,,,,(1+0j),(0.05+0j),,,,a gap between scientists
71,,,,,,,,(1+0j),(0.05+0j),,a higher proportion
72,,,,,,,,(1+0j),(0.05+0j),,a leaf
73,,,,,,(1+0j),(0.05+0j),,,,a lion of american history
74,,,,(1+0j),(0.05+0j),,,,,,a long time coming
75,,,,,,,,(1+0j),(0.05+0j),,a major
76,,,,0j,0j,,,,,,a more secure future
77,,,,0j,0j,,,,,,a neighborhood populated by
78,,,,(1+0j),(0.05+0j),,,,,,a new dawn
79,,,,(1+0j),(0.05+0j),,,,,,a new era
80,,,,,,(1+0j),(0.05+0j),,,,a perennial
81,,,,,,,,0j,0j,,a primary transcript
82,,,,0j,0j,,,,,,a rich fishing ground
83,,,,(1+0j),(0.05+0j),,,,,,a rising tide of discontent
84,,,,(1+0j),(0.05+0j),,,,,,a spokesman
85,,,,,,(1+0j),(0.05+0j),,,,a statement
86,,,,(1+0j),(0.05+0j),,,,,,a surge of violence
87,,,,,,(1+0j),(0.1+0j),,,,a threat
88,,,,,,(1+0j),(0.05+0j),,,,a tragedy
89,,,,,,(1+0j),(0.05+0j),,,,a trend
90,,,,(1+0j),(0.05+0j),,,,,,a vicious civil war
91,,,,,,,,,,,a-waltzing
92,,,,,,,,0j,0j,,a1
93,,,,,,,,0j,0j,,a1gp
94,,,,,,,,0j,0j,,a2a4-7
95,,,,,,0j,0j,,,,a4
96,,,,,,,,0j,0j,,a4a9
97,,,,,,,,0j,0j,,a7
98,,(2.4+0j),,,,,,,,,aa
99,,,,,,,,0j,0j,,aac
100,,(5+0j),,,,,,,,,aaliyah
101,,,(2+0j),,,,,,,,aan
102,,,,0j,0j,,,,,,aapl
103,,(3.4+0j),,,,,,,,,aaron
104,,,,,,,,,,,ab
105,,(2.5714+0j),,(1+0j),(0.475+0j),,,,,,abandon
106,,(2.8571+0j),(3.2857+0j),,,(1+0j),(0.47500000000000003+0j),,,,abandoned
107,,,,,,,,,,,abandoning
108,,,,,,,,,,,abandonment
109,,(3.2+0j),,,,,,(1+0j),(0.05+0j),,abbey
110,,(4.6+0j),,,,,,,,,abbott
111,,,,,,,,,,,abbr
112,,,,,,,,,,,abbreviate
113,,,(2.4286+0j),,,,,,,,abbreviated
114,,,(2.82145+0j),,,,,,,,abbreviation
115,,(3.3333+0j),,,,,,(1+0j),(0.95+0j),,abbreviations
116,,,,,,0j,0j,,,,abc
117,,,,,,,,,,,abdicated
118,,,(3.2857+0j),,,,,,,,abdomen
119,,(4.5+0j),,,,,,,,,abdominal
120,,,(3+0j),,,,,,,,abducted
121,,(3.4+0j),,,,0j,0j,,,,abdul
122,,,,0j,0j,,,,,,abdul-rahman
123,,(3.5+0j),,,,,,,,,aberdeen
124,,,,,,,,,,,abhorred
125,,(3+0j),,,,,,,,,abide
126,,(2.1429+0j),,,,0j,0j,,,,abilities
127,,(2+0j),(4.1667+0j),0j,0j,,,,,,ability
128,,,,,,,,,,,abiogenesis
129,,,,,,,,,,,abjurer
130,,(1.3333+0j),(2.5748285714285717+0j),,,,,,,,able
131,,(3.1429+0j),,,,,,,,,abnormal
132,(0.5294117647058824+0j),,,,,,,,,,abnormal transcript
133,,(3.8571+0j),,,,,,,,,abnormalities
134,,(2.5714+0j),,,,(1+0j),(0.3+0j),,,,aboard
135,,,(3.3+0j),,,,,(1+0j),(0.95+0j),,abolished
136,,,,,,,,,,,abolition
137,(0.5333333333333333+0j),,,,,,,,,,abominable filth
138,,(4.8+0j),,,,,,(0.5714285714285714+0j),(0.20714285714285716+0j),,aboriginal
139,,,,,,,,(0.5+0j),(0.025+0j),,aboriginal land rights
140,,,,,,,,(1+0j),(0.05+0j),,aboriginal land rights legislaton
141,,,,,,,,0j,0j,,aboriginal lands trust act
142,,,,,,,,(1+0j),(0.05+0j),,aboriginal protests
143,,,,,,,,0j,0j,,aborigines
144,,(3.1429+0j),,,,,,,,,abortion
145,,,,,,,,,,,abortionist
146,,,(2.11905+0j),,,,,,,,abortions
147,,(1.4286+0j),(2.42858+0j),,,,,,,,about
148,,(1.7143+0j),,,,,,,,,above
149,(0.3625+0j),,,,,,,,,,above sum
150,,,(3.2857+0j),,,,,,,,above-ground
151,,,,,,,,,,,abovementioned
152,,,,,,,,,,,abovestyle
153,,(2.8+0j),,,,,,,,,abraham
154,,,,,,0j,0j,,,,abrams
155,,,,,,(0.5+0j),(0.025+0j),,,,abrams tanks
156,,,,,,,,,,,abridged
157,,(2.1667+0j),,(1+0j),(0.15+0j),(1+0j),(0.1+0j),,,,abroad
158,,,,,,,,,,,abrupt
159,,,,,,,,,,,abruptly
160,,(2.7143+0j),,,,,,,,,absence
161,,(2.4286+0j),(1.92855+0j),(1+0j),(0.175+0j),,,,,,absent
162,,,,,,,,,,,absinthe
163,,(3+0j),(2+0j),,,,,,,,absolute
164,(0.2368421052631579+0j),,,,,,,,,,absolute certainty
165,,(2.7143+0j),(3+0j),,,,,(1+0j),(0.25+0j),,absolutely
166,,,(3.7143+0j),,,,,,,,absolutist
167,,(2.5714+0j),,,,,,,,,absorb
168,,(2.5714+0j),(3.2143+0j),,,,,,,,absorbed
169,,,(2.6667+0j),,,,,,,,absorbing
170,,(2.8333+0j),,,,,,(1+0j),(0.2+0j),,absorption
171,,,,,,,,(1+0j),(0.05+0j),,absorption band
172,,(3.2857+0j),(2.7143+0j),,,,,,,,abstract
173,,(3.6667+0j),,,,,,,,,abstraction
174,,,,,,,,,,,abstractions
175,,(3.2857+0j),,,,,,,,,abstracts
176,,(3.1667+0j),,,,,,,,,absurd
177,,,,,,,,0j,0j,,abu
178,,,,,,,,(1+0j),(0.05+0j),,abu dhabi
179,,(3.1429+0j),,,,,,,,,abundance
180,,(3.1429+0j),(3.6667+0j),,,,,,,,abundant
181,(0.5714285714285714+0j),,,,,,,,,,abundant propriety
182,,(2.5714+0j),,(1+0j),(0.1+0j),,,,,,abuse
183,,(2.5714+0j),,,,(1+0j),(0.3+0j),,,,abused
184,,(2.8333+0j),,,,(1+0j),(0.3+0j),,,,abuses
185,,,,,,(1+0j),(0.15+0j),,,,abusing
186,,(3+0j),,,,,,(1+0j),(0.3+0j),,abusive
187,,,,,,,,(1+0j),(0.05+0j),,abusive users
188,,,,,,,,0j,0j,,ac
189,,,,,,(1+0j),(0.05+0j),,,,aca
190,,(2.8+0j),,,,,,,,,acad
191,,(2.8333+0j),(2.7143+0j),,,,,,,,academic
192,,,,,,,,,,,academiciens
193,,(3.2857+0j),,,,,,,,,academics
194,,(3+0j),,,,,,,,,academies
195,,(3.2857+0j),,,,0j,0j,(0.3333333333333333+0j),(0.016666666666666666+0j),,academy
196,,,,,,,,(1+0j),(0.05+0j),,academy award
197,,,,,,,,(0.5+0j),(0.025+0j),,académie
198,,,,,,,,0j,0j,,académie colarossi
199,,,,,,,,0j,0j,,académie julian
200,,,,,,,,(1+0j),(0.05+0j),,académie julian and académie colarossi
201,,(3+0j),,,,,,,,,acc
202,,,,,,,,,,,acceded
203,,(2.8333+0j),,,,,,,,,accelerate
204,,(3.1429+0j),(3+0j),(1+0j),(0.6+0j),,,,,,accelerated
205,,,(3.4286+0j),,,,,,,,accelerates
206,,(2.8571+0j),,,,,,,,,acceleration
207,,(3.2857+0j),,,,,,,,,accelerator
208,,(2.8571+0j),,,,,,,,,accent
209,,(2.8+0j),,,,,,,,,accents
210,,(1.6667+0j),(2+0j),,,,,,,,accept
211,,(3+0j),,(1+0j),(0.05+0j),,,,,,acceptable
212,,,,0j,0j,,,,,,acceptable security arrangements
213,,(3+0j),(3.3571333333333335+0j),,,,,,,,acceptance
214,,(1.8333+0j),(3.0714333333333332+0j),,,,,(1+0j),(0.05+0j),,accepted
215,,(2.4286+0j),,,,,,,,,accepting
216,,,(2.8+0j),,,,,,,,acceptor
217,,(2.2857+0j),(3.3333+0j),,,,,,,,accepts
218,,(2.3333+0j),(2.38666+0j),(1+0j),(0.13333333333333333+0j),(0.8+0j),(0.09000000000000001+0j),(0.5+0j),(0.025+0j),,access
219,,,,,,(1+0j),(0.05+0j),,,,access to
220,,(2.7143+0j),(1.5+0j),,,,,,,,accessed
221,,,,,,,,,,,accesses
222,,(3.7143+0j),,,,,,,,,accessibility
223,,(3.1429+0j),,,,,,(1+0j),(0.4+0j),,accessible
224,,(2.8571+0j),,,,,,,,,accessing
225,,(5.4+0j),(4.8+0j),,,,,,,,accession
226,,(3+0j),,,,,,,,,accessories
227,,(2.8571+0j),,,,,,,,,accessory
228,,(2.4286+0j),(3.5+0j),,,(0.4444444444444444+0j),(0.044444444444444446+0j),,,,accident
229,,(3+0j),,,,,,(1+0j),(0.3+0j),,accidental
230,,(2.5714+0j),,,,,,,,,accidentally
231,,(2.5714+0j),,,,,,,,,accidents
232,,,,,,,,,,,acclaim
233,,(3.4286+0j),(1.8+0j),,,,,(1+0j),(0.9+0j),,acclaimed
234,,,,,,,,(1+0j),(1+0j),,accolade
235,,(4.3333+0j),,,,,,,,,accolades
236,,(3.4286+0j),(1.8571+0j),,,,,,,,accommodate
237,,(3.5+0j),,,,,,,,,accommodation
238,,(3.4286+0j),,,,,,,,,accommodations
239,,(3.1667+0j),(2.8+0j),,,,,,,,accompanied
240,,(3.1667+0j),,,,,,,,,accompany
241,,(3.4286+0j),,,,,,,,,accompanying
242,,,,,,,,,,,accomplices
243,,(3.8333+0j),,,,,,,,,accomplish
244,,(3.7143+0j),,,,,,,,,accomplished
245,,(3+0j),,,,(1+0j),(0.65+0j),,,,accomplishment
246,,(3.2857+0j),(2.05+0j),,,,,,,,accomplishments
247,,(3.2857+0j),,,,,,,,,accord
248,,(3.5714+0j),,,,,,,,,accordance
249,,,(2.4+0j),,,,,,,,accordant
250,,(2.6667+0j),,(0.7272727272727273+0j),(0.03636363636363637+0j),(0.35714285714285715+0j),(0.017857142857142856+0j),0j,0j,,according
251,,,,(1+0j),(0.05+0j),(0.75+0j),(0.037500000000000006+0j),(1+0j),(0.05+0j),,according to
252,,,,,,0j,0j,,,,according to authorities
253,,(2.5714+0j),,,,,,,,,accordingly
254,,(1.7143+0j),(2.4127+0j),0j,0j,0j,0j,0j,0j,,account
255,(0.4285714285714286+0j),,,,,,,,,,account experience
256,,,,,,,,0j,0j,,account name
257,,(4.3333+0j),,,,,,,,,accountability
258,,(3.1429+0j),,,,,,,,,accountable
259,,(4.1667+0j),,,,,,,,,accountancy
260,,(3.3333+0j),,,,,,,,,accountant
261,,(3.1667+0j),,,,,,,,,accountants
262,,,,,,,,,,,accountcreators
263,,(2.5714+0j),,,,,,,,,accounted
264,,(3.3333+0j),,,,,,,,,accounting
265,,(1.8333+0j),,(0.6666666666666666+0j),(0.03333333333333333+0j),0j,0j,0j,0j,,accounts
266,,(4.5+0j),,,,,,,,,accreditation
267,,(4.5+0j),,,,,,,,,accredited
268,,,,,,,,0j,0j,,accroche-coeurs
269,,(3.1429+0j),,,,,,,,,accumulate
270,,(3.1429+0j),(3.2857+0j),,,,,,,,accumulated
271,,,,,,,,(1+0j),(0.15+0j),,accumulates
272,,(3.4286+0j),,,,,,(1+0j),(0.7+0j),,accumulation
273,,(2.7143+0j),,,,,,,,,accuracy
274,,(3+0j),(2.0713999999999997+0j),,,,,,,,accurate
275,(0.3947368421052631+0j),,,,,,,,,,accurate placement
276,(0.3055555555555556+0j),,,,,,,,,,accurate weights
277,,(3.1667+0j),(3+0j),,,,,,,,accurately
278,,,,(1+0j),(0.6+0j),,,,,,accusation
279,,,(3.8333+0j),,,(1+0j),(0.95+0j),,,,accusations
280,,,,(1+0j),(0.2833333333333334+0j),,,,,,accuse
281,,(3.2+0j),(2.1667+0j),(1+0j),(0.24583333333333332+0j),(1+0j),(0.2227272727272727+0j),,,,accused
282,,,,(1+0j),(0.05+0j),,,,,,accused of
283,,,,,,(1+0j),(0.05+0j),,,,accused of corruption
284,,,,(1+0j),(0.05+0j),,,,,,accused of hitting
285,,,,,,(1+0j),(0.05+0j),,,,accused of murdering
286,,,,(1+0j),(0.175+0j),,,,,,accuses
287,,,,0j,0j,(1+0j),(0.05+0j),,,,accusing
288,,(3.2857+0j),,,,,,,,,accustomed
289,,(2.5+0j),,,,,,,,,ace
290,,(2.5714+0j),,,,,,,,,acer
291,,,,,,,,,,,acetone
292,,,,,,,,(1+0j),(0.05+0j),,acf
293,,,,,,,,(1+0j),(0.05+0j),,acf fiorentina
294,,,,,,,,(1+0j),(0.05+0j),,acherontia
295,,,,,,,,(1+0j),(0.3+0j),,acherontia atropos
296,,(3+0j),(2.60715+0j),(0.5+0j),(0.025+0j),,,,,,achieve
297,,(2.8333+0j),,(1+0j),(0.15+0j),(1+0j),(0.2+0j),,,,achieved
298,,(3.1429+0j),(2.3333+0j),(1+0j),(0.05+0j),,,,,,achievement
299,,(3.5+0j),(2.5+0j),,,,,,,,achievements
300,,,,,,,,,,,achieves
301,,(2.7143+0j),,,,(1+0j),(0.3+0j),,,,achieving
302,,(2.6667+0j),(2.0492+0j),,,,,,,,acid
303,,,,,,,,,,,acid-base
304,,,(3+0j),,,,,(1+0j),(0.3+0j),,acidic
305,,(2.3333+0j),,,,,,,,,acids
306,,(3.4286+0j),,,,,,,,,acknowledge
307,,(2.6667+0j),,(1+0j),(0.35+0j),(1+0j),(0.1+0j),,,,acknowledged
308,,,,,,(1+0j),(0.15+0j),,,,acknowledged wrongdoing
309,,(3+0j),,,,,,,,,acknowledgement
310,,(3.6667+0j),,,,,,,,,acknowledgements
311,,(3.1667+0j),,,,(1+0j),(0.55+0j),,,,acknowledges
312,,,,,,,,,,,acknowledging
313,,(4.8+0j),,,,,,,,,aclu
314,,(3.3333+0j),,,,,,,,,acm
315,,(2.8333+0j),,,,,,,,,acne
316,,(3.7143+0j),(4.1429+0j),,,,,,,,acoustic
317,(0.5666666666666667+0j),,,,,,,,,,acoustic trauma
318,,(4.1429+0j),,,,,,,,,acoustics
319,,,,,,,,,,,acquaintance
320,,,,,,,,,,,acquainted
321,,(3+0j),,(1+0j),(0.4916666666666667+0j),,,,,,acquire
322,,,,(1+0j),(0.05+0j),,,,,,acquire hardware manufacturer
323,,(3.1429+0j),,(1+0j),(0.45+0j),,,(1+0j),(0.3+0j),,acquired
324,,(3.2857+0j),(3+0j),,,(1+0j),(0.65+0j),,,,acquiring
325,,,,,,(1+0j),(0.1+0j),,,,acquiring sponsorship
326,,(3.6667+0j),,(1+0j),(0.8785714285714287+0j),,,,,,acquisition
327,,(4.6667+0j),,,,,,,,,acquisitions
328,,,,,,,,,,,acquittal
329,,,,,,(1+0j),(0.45+0j),,,,acquitted
330,,(2.4286+0j),,,,,,,,,acre
